	AveExpr	Coef	t	P.value	P.value.adj	Results
AT5G25270.1	5.81741	1.281156	0.69063	0.30415599	0.99999982	0
AT5G25280.1	6.73918	-2.637707	-1.45344	0.11663762	0.939512061	0
AT5G25350.1	6.7693	-0.342435	0	0.7289638	0.99999982	0
AT5G25460.1	6.64647	-0.22604	0	0.82269634	0.99999982	0
AT5G25610.1	7.20031	0.059505	0	0.96477791	0.99999982	0
AT5G25980.2	5.7419	7.463612	6.50367	0.00010276	0.016880476	0
AT5G26000.1	11.37321	1.15473	6.15527	0.00011471	0.017665303	0
AT5G26360.1	5.97408	-0.578064	0	0.67235946	0.99999982	0
AT5G26742.2	4.86764	0.367206	0	0.87175539	0.99999982	0
AT5G26830.1	6.36564	-0.359622	0	0.73020201	0.99999982	0
AT5G27350.1	6.05907	0.817204	0.4013	0.36937262	0.99999982	0
AT5G27470.1	5.87784	0.268078	0	0.81662833	0.99999982	0
AT5G27660.1	5.42234	2.944969	2.00099	0.0476891	0.818628167	0
AT5G27850.1	6.88163	-0.343637	0	0.72822757	0.99999982	0
AT5G28500.1	6.1569	-1.547974	-0.21722	0.73803213	0.99999982	0
AT5G28540.1	7.34483	0.974067	0.89817	0.20039979	0.99999982	0
AT5G28840.1	8.35052	-0.656906	-0.248	0.40628218	0.99999982	0
AT5G30510.1	9.07971	0.044138	0	0.99377084	0.99999982	0
AT5G33320.1	6.51505	-0.279058	0	0.78107511	0.99999982	0
AT5G34850.1	6.12174	0.516992	0	0.61063378	0.99999982	0
AT5G35170.1	7.88125	-0.767733	-0.57315	0.29211457	0.99999982	0
AT5G35210.1	5.57939	-1.248469	-0.3158	0.58359397	0.99999982	0
AT5G35630.1	10.06726	-1.420247	-1.52004	0.08575095	0.915267873	0
AT5G35735.1	6.92837	1.209776	1.42417	0.09694383	0.915267873	0
AT5G35790.1	6.51505	0.594603	0.02318	0.50153718	0.99999982	0
AT5G35970.1	7.64579	1.000217	0.98197	0.17947709	0.997399338	0
AT5G35980.1	6.70369	-0.320718	0	0.75306928	0.99999982	0
AT5G36230.1	5.76916	0.539327	0	0.63215787	0.99999982	0
AT5G36250.1	6.2205	-1.396462	-0.5448	0.40939768	0.99999982	0
AT5G36700.1	5.44006	-3.272396	-0.65711	0.45045983	0.99999982	0
AT5G36790.1	5.44006	-3.272396	-0.65711	0.45045983	0.99999982	0
AT5G37130.1	6.07844	-4.12039	-2.05787	0.04834046	0.818628167	0
AT5G37510.2	6.90807	0.311922	0	0.75895393	0.99999982	0
AT5G37600.1	6.60214	0.139576	0	0.89089813	0.99999982	0
AT5G37770.1	7.22006	-0.468132	0	0.6340299	0.99999982	0
AT5G38420.1	13.78466	-0.46832	0	0.97251736	0.99999982	0
AT5G38430.1	13.15415	-0.368979	0	0.96617055	0.99999982	0
AT5G38980.1	6.2512	0.913892	0.59105	0.29825021	0.99999982	0
AT5G38990.1	6.68447	-0.521523	0	0.58048983	0.99999982	0
AT5G39570.1	8.36829	-0.641749	-0.14191	0.45260739	0.99999982	0
AT5G39590.1	6.39974	-0.498075	0	0.64571817	0.99999982	0
AT5G39740.1	7.80163	0.468343	0	0.67666542	0.99999982	0
AT5G40340.1	7.29007	-0.054523	0	0.96122995	0.99999982	0
AT5G40450.1	8.51623	-0.210117	0	0.90077445	0.99999982	0
AT5G40810.1	6.02114	0.72698	0.21505	0.45780853	0.99999982	0
AT5G40890.1	7.87321	0.379544	0	0.73556263	0.99999982	0
AT5G40950.1	7.50107	-0.698729	-0.2041	0.44605767	0.99999982	0
AT5G41700.4	5.61764	-0.589537	-0.00202	0.80823795	0.99999982	0
AT5G41790.1	8.0255	-0.047178	0	0.97038828	0.99999982	0
AT5G42020.1	6.62357	-2.04825	-1.01718	0.22034312	0.99999982	0
AT5G42050.1	7.71077	-0.577304	0	0.51235822	0.99999982	0
AT5G42100.1	5.41195	-3.245743	-0.6931	0.42674211	0.99999982	0
AT5G42270.1	9.53456	-0.942664	-1.52303	0.08243273	0.905091475	0
AT5G42300.1	6.37372	0.138812	0	0.89188911	0.99999982	0
AT5G42390.1	8.34107	0.906083	1.30485	0.11351835	0.934381215	0
AT5G42530.1	11.44098	-0.094259	0	0.99967347	0.99999982	0
AT5G42650.1	7.34396	-0.597571	-0.03258	0.49484919	0.99999982	0
AT5G42950.1	7.17933	0.226812	0	0.87337278	0.99999982	0
AT5G42980.1	8.22572	-0.788321	-0.62931	0.27426588	0.99999982	0
AT5G43750.1	6.35988	0.51792	0	0.61167591	0.99999982	0
AT5G43760.1	6.09016	1.442372	1.0486	0.18038406	0.997399338	0
AT5G43830.1	6.5593	0.080938	0	0.9373316	0.99999982	0
AT5G44020.1	7.58433	-0.310238	0	0.79656525	0.99999982	0
